id,channel,sku_id,qty,amount_usd,status,promo_code,customer_email,placed_at
ORD-210000,dtc,SWAN-XL,1,89,backordered,,chen.flores367@example.com,1398
ORD-210001,dtc,SWAN-XL,1,89,backordered,,gus.miller168@example.com,1567
ORD-210002,dtc,UNIC-01,1,79,backordered,,umar.white478@example.com,1655
ORD-210003,dtc,SWAN-XL,1,89,backordered,,umar.thompson658@example.com,1398
ORD-210004,dtc,UNIC-01,3,237,backordered,,margaret.garcia591@example.com,1467
ORD-210005,dtc,KIT-HEL,1,34,backordered,,umar.kim638@example.com,1896
ORD-210006,dtc,SWAN-XL,1,89,backordered,,zoe.smith803@example.com,1563
ORD-210007,dtc,SWAN-XL,2,178,backordered,,nellie.martinez566@example.com,1917
ORD-210008,dtc,SWAN-XL,3,267,backordered,,margaret.jackson666@example.com,1852
ORD-210009,dtc,SWAN-XL,1,89,backordered,,quinn.scott635@example.com,1900
ORD-210010,dtc,SWAN-XL,1,89,backordered,,chen.brown455@example.com,1371
ORD-210011,dtc,SWAN-XL,1,89,backordered,,tomasz.white643@example.com,1949
ORD-210012,dtc,SWAN-XL,1,89,backordered,,bettye.johnson964@example.com,1510
ORD-210013,dtc,SWAN-XL,1,89,backordered,,curtis.wright640@example.com,1734
ORD-210014,dtc,SWAN-XL,1,89,backordered,,omar.wilson196@example.com,1442
ORD-210015,dtc,SWAN-XL,1,89,backordered,,nadia.adams790@example.com,1416
ORD-210016,dtc,SWAN-XL,1,89,backordered,,kitty.johnson649@example.com,1457
ORD-210017,dtc,SWAN-XL,1,89,backordered,,ray.okaforreyes305@example.com,1725
ORD-210018,dtc,SWAN-XL,1,89,backordered,,hannah.allen545@example.com,1793
ORD-210019,dtc,SWAN-XL,1,89,backordered,,yosef.martin424@example.com,1811
ORD-210020,dtc,SWAN-XL,1,89,backordered,,zoe.thomas273@example.com,1860
ORD-210021,dtc,SWAN-XL,2,178,backordered,,fatima.brzezinski735@example.com,1446
ORD-210022,dtc,SWAN-XL,1,89,backordered,,fatima.martinez150@example.com,1439
ORD-210023,dtc,SWAN-XL,1,89,backordered,,keiko.flores709@example.com,1729
ORD-210024,dtc,SWAN-XL,1,89,backordered,,bettye.ramirez382@example.com,1717
ORD-210025,dtc,SWAN-XL,1,89,backordered,,vera.adams561@example.com,1374
ORD-210026,dtc,SWAN-XL,1,89,backordered,,keiko.robinson295@example.com,1741
ORD-210027,dtc,DONUT-2,1,59,backordered,,pearl.anderson974@example.com,1635
ORD-210028,dtc,DONUT-2,1,59,backordered,,wes.perez636@example.com,1854
ORD-210029,dtc,SWAN-XL,1,89,backordered,,omar.johnson622@example.com,1567
ORD-210030,dtc,SWAN-XL,1,89,backordered,,deshawn.green53@example.com,1871
ORD-210031,dtc,SWAN-XL,1,89,backordered,,carlos.brown840@example.com,1479
ORD-210032,dtc,SWAN-XL,1,89,backordered,,priya.alsayed524@example.com,1501
ORD-210033,dtc,SWAN-XL,1,89,backordered,,keiko.walker956@example.com,1840
ORD-210034,dtc,SWAN-XL,1,89,backordered,,omar.davis936@example.com,1399
ORD-210035,dtc,SWAN-XL,1,89,backordered,,yuki.tanaka556@example.com,1480
ORD-210036,dtc,KIT-HEL,2,68,backordered,,umar.green524@example.com,1637
ORD-210037,dtc,DONUT-2,1,59,backordered,,mo.clark237@example.com,1928
ORD-210038,dtc,SWAN-XL,1,89,backordered,,arthur.okaforreyes486@example.com,1883
ORD-210039,dtc,SWAN-XL,1,89,backordered,,stan.nowak480@example.com,1520
ORD-210040,dtc,SWAN-XL,1,89,backordered,,yuki.green860@example.com,1648
ORD-210041,dtc,SWAN-XL,1,89,backordered,,nadia.wilson863@example.com,1925
ORD-210042,dtc,SWAN-XL,1,89,backordered,,gus.garcia601@example.com,1744
ORD-210043,dtc,DONUT-2,1,59,backordered,,nadia.osei398@example.com,1815
ORD-210044,dtc,DONUT-2,1,59,backordered,,ivan.lee768@example.com,1563
ORD-210045,dtc,SWAN-XL,1,89,backordered,,chen.anderson588@example.com,1421
ORD-210046,dtc,SWAN-XL,1,89,backordered,,tina.perez835@example.com,1349
ORD-210047,dtc,SWAN-XL,1,89,backordered,,umar.brzezinski19@example.com,1503
ORD-210048,dtc,SWAN-XL,1,89,backordered,,rosa.baker469@example.com,1536
ORD-210049,dtc,SWAN-XL,1,89,backordered,,kitty.martinez120@example.com,1808
ORD-210050,dtc,SWAN-XL,3,267,backordered,,dolores.walker397@example.com,1428
ORD-210051,dtc,SWAN-XL,1,89,backordered,,wes.johnson719@example.com,1463
ORD-210052,dtc,SWAN-XL,1,89,backordered,,dolores.nowak73@example.com,1633
ORD-210053,dtc,SWAN-XL,1,89,backordered,,bettye.harris774@example.com,1368
ORD-210054,dtc,SWAN-XL,3,267,backordered,,arthur.martinez431@example.com,1485
ORD-210055,dtc,SWAN-XL,1,89,backordered,,deshawn.lewis670@example.com,1350
ORD-210056,dtc,SWAN-XL,1,89,backordered,,gus.martin248@example.com,1346
ORD-210057,dtc,SWAN-XL,1,89,backordered,,jerome.robinson967@example.com,1883
ORD-210058,dtc,DONUT-2,1,59,backordered,,pearl.torres857@example.com,1938
ORD-210059,dtc,SWAN-XL,1,89,backordered,,ernesto.okaforreyes503@example.com,1559
ORD-210060,dtc,SWAN-XL,1,89,backordered,,ivan.patel961@example.com,1352
ORD-210061,dtc,KIT-HEL,1,34,backordered,,ximena.kowalczyk478@example.com,1600
ORD-210062,dtc,SWAN-XL,1,89,backordered,,jerome.flores457@example.com,1886
ORD-210063,dtc,SWAN-XL,2,178,backordered,,stan.miller559@example.com,1365
ORD-210064,dtc,DONUT-2,1,59,backordered,,mabel.nguyen921@example.com,1366
ORD-210065,dtc,SWAN-XL,1,89,backordered,,arthur.thompson945@example.com,1479
ORD-210066,dtc,SWAN-XL,1,89,backordered,,kitty.moore806@example.com,1753
ORD-210067,dtc,SWAN-XL,1,89,backordered,,nellie.patel853@example.com,1835
ORD-210068,dtc,SWAN-XL,1,89,backordered,,lamar.brown389@example.com,1702
ORD-210069,dtc,SWAN-XL,1,89,backordered,,vera.scott560@example.com,1698
ORD-210070,dtc,SWAN-XL,1,89,backordered,,deshawn.kowalczyk464@example.com,1436
ORD-210071,dtc,SWAN-XL,1,89,backordered,,lamar.womack660@example.com,1888
ORD-210072,dtc,SWAN-XL,1,89,backordered,,ingrid.adams164@example.com,1443
ORD-210073,dtc,SWAN-XL,1,89,backordered,,ivan.baker322@example.com,1695
ORD-210074,dtc,SWAN-XL,3,267,backordered,,mo.adams46@example.com,1407
ORD-210075,dtc,UNIC-01,1,79,backordered,,kitty.wright291@example.com,1422
ORD-210076,dtc,SWAN-XL,1,89,backordered,,bettye.torres920@example.com,1908
ORD-210077,dtc,SWAN-XL,2,178,backordered,,mabel.martin166@example.com,1929
ORD-210078,dtc,SWAN-XL,1,89,backordered,,dolores.womack594@example.com,1695
ORD-210079,dtc,SWAN-XL,1,89,backordered,,omar.nguyen156@example.com,1804
ORD-210080,dtc,SWAN-XL,1,89,backordered,,yosef.green961@example.com,1363
ORD-210081,dtc,SWAN-XL,1,89,backordered,,harriet.nguyen162@example.com,1787
ORD-210082,dtc,SWAN-XL,1,89,backordered,,umar.garcia261@example.com,1629
