id,channel,sku_id,qty,amount_usd,status,promo_code,customer_email,placed_at
ORD-210000,dtc,SWAN-XL,1,89,shipped,,chen.flores367@example.com,1398
ORD-210001,dtc,SWAN-XL,1,89,shipped,,gus.miller168@example.com,1567
ORD-210002,dtc,UNIC-01,1,79,shipped,,umar.white478@example.com,1655
ORD-210003,dtc,SWAN-XL,1,89,shipped,,umar.thompson658@example.com,1398
ORD-210010,dtc,SWAN-XL,1,89,shipped,,chen.brown455@example.com,1371
ORD-210011,dtc,SWAN-XL,1,89,shipped,,tomasz.white643@example.com,1949
ORD-210012,dtc,SWAN-XL,1,89,shipped,,bettye.johnson964@example.com,1510
ORD-210013,dtc,SWAN-XL,1,89,shipped,,curtis.wright640@example.com,1734
ORD-210020,dtc,SWAN-XL,1,89,shipped,,zoe.thomas273@example.com,1860
ORD-210021,dtc,SWAN-XL,2,178,shipped,,fatima.brzezinski735@example.com,1446
ORD-210022,dtc,SWAN-XL,1,89,shipped,,fatima.martinez150@example.com,1439
ORD-210023,dtc,SWAN-XL,1,89,shipped,,keiko.flores709@example.com,1729
ORD-210030,dtc,SWAN-XL,1,89,shipped,,deshawn.green53@example.com,1871
ORD-210031,dtc,SWAN-XL,1,89,shipped,,carlos.brown840@example.com,1479
ORD-210032,dtc,SWAN-XL,1,89,shipped,,priya.alsayed524@example.com,1501
ORD-210033,dtc,SWAN-XL,1,89,shipped,,keiko.walker956@example.com,1840
ORD-210040,dtc,SWAN-XL,1,89,shipped,,yuki.green860@example.com,1648
ORD-210041,dtc,SWAN-XL,1,89,shipped,,nadia.wilson863@example.com,1925
ORD-210042,dtc,SWAN-XL,1,89,shipped,,gus.garcia601@example.com,1744
ORD-210043,dtc,DONUT-2,1,59,shipped,,nadia.osei398@example.com,1815
ORD-210050,dtc,SWAN-XL,3,267,shipped,,dolores.walker397@example.com,1428
ORD-210051,dtc,SWAN-XL,1,89,shipped,,wes.johnson719@example.com,1463
ORD-210052,dtc,SWAN-XL,1,89,shipped,,dolores.nowak73@example.com,1633
ORD-210053,dtc,SWAN-XL,1,89,shipped,,bettye.harris774@example.com,1368
ORD-210060,dtc,SWAN-XL,1,89,shipped,,ivan.patel961@example.com,1352
ORD-210061,dtc,KIT-HEL,1,34,shipped,,ximena.kowalczyk478@example.com,1600
ORD-210062,dtc,SWAN-XL,1,89,shipped,,jerome.flores457@example.com,1886
ORD-210063,dtc,SWAN-XL,2,178,shipped,,stan.miller559@example.com,1365
ORD-210070,dtc,SWAN-XL,1,89,shipped,,deshawn.kowalczyk464@example.com,1436
ORD-210071,dtc,SWAN-XL,1,89,shipped,,lamar.womack660@example.com,1888
ORD-210072,dtc,SWAN-XL,1,89,shipped,,ingrid.adams164@example.com,1443
ORD-210073,dtc,SWAN-XL,1,89,shipped,,ivan.baker322@example.com,1695
ORD-210080,dtc,SWAN-XL,1,89,shipped,,yosef.green961@example.com,1363
ORD-210081,dtc,SWAN-XL,1,89,shipped,,harriet.nguyen162@example.com,1787
