id,channel,sku_id,qty,amount_usd,status,promo_code,customer_email,placed_at
ORD-230000,dtc,SWAN-XL,2,106.8,backordered,FLOAT40,stan.lopez784@example.com,4991
ORD-230001,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,ximena.flores832@example.com,4991
ORD-230002,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,dolores.martin548@example.com,4981
ORD-230003,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,jamal.okaforreyes901@example.com,4990
ORD-230004,dtc,PIZZ-XL,1,29.4,backordered,FLOAT40,jamal.lopez437@example.com,4983
ORD-230005,dtc,PIZZ-XL,1,29.4,backordered,FLOAT40,tina.robinson317@example.com,5000
ORD-230006,dtc,SWAN-XL,1,89,backordered,,vera.garcia339@example.com,4987
ORD-230007,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,keiko.lee914@example.com,4993
ORD-230008,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,nellie.baker377@example.com,4998
ORD-230009,dtc,SWAN-XL,1,89,backordered,,otis.davis340@example.com,4999
ORD-230010,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,deshawn.moore222@example.com,4997
ORD-230011,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,priya.flores99@example.com,5000
ORD-230012,dtc,PIZZ-XL,1,49,backordered,,ernesto.osei173@example.com,4998
ORD-230013,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,bob.womack660@example.com,4980
ORD-230014,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,jerome.hernandez345@example.com,4995
ORD-230015,dtc,DONUT-2,1,35.4,backordered,FLOAT40,keiko.clark302@example.com,4997
ORD-230016,dtc,KRAK-01,3,232.2,backordered,FLOAT40,carlos.lewis262@example.com,4983
ORD-230017,dtc,SWAN-XL,1,89,backordered,,ernesto.walker124@example.com,4992
ORD-230018,dtc,KIT-HEL,1,34,backordered,,gus.robinson860@example.com,4984
ORD-230019,dtc,UNIC-01,1,47.4,backordered,FLOAT40,fatima.martin981@example.com,4982
ORD-230020,dtc,SWAN-XL,1,89,backordered,,kitty.garcia953@example.com,4994
ORD-230021,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,margaret.wright521@example.com,4999
ORD-230022,dtc,SWAN-XL,1,89,backordered,,arthur.moore258@example.com,4999
ORD-230023,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,linda.king776@example.com,4987
ORD-230024,dtc,SWAN-XL,3,160.2,backordered,FLOAT40,rosa.hernandez759@example.com,4989
ORD-230025,dtc,SWAN-XL,3,160.2,backordered,FLOAT40,chen.kowalczyk19@example.com,4989
ORD-230026,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,ernesto.flores933@example.com,5000
ORD-230027,dtc,UNIC-01,1,47.4,backordered,FLOAT40,nellie.walker356@example.com,4992
ORD-230028,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,arthur.torres616@example.com,4992
ORD-230029,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,deshawn.lee125@example.com,4983
ORD-230030,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,tomasz.allen356@example.com,4992
ORD-230031,dtc,SWAN-XL,3,160.2,backordered,FLOAT40,mabel.kowalczyk695@example.com,4996
ORD-230032,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,keiko.kim234@example.com,4998
ORD-230033,dtc,PIZZ-XL,1,29.4,backordered,FLOAT40,rosa.nguyen99@example.com,4982
ORD-230034,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,paloma.king467@example.com,4990
ORD-230035,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,luis.walker366@example.com,4994
ORD-230036,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,keiko.flores624@example.com,4996
ORD-230037,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,priya.martinez88@example.com,4999
ORD-230038,dtc,SWAN-XL,1,53.4,backordered,FLOAT40,dolores.tanaka142@example.com,4987
