id,name,email,home_address,dob,card_last4,member_since,tier,churn_risk
MEM-0001,Margaret Okafor-Reyes,m.okafor.reyes@example.com,"418 Balloon Way, Toledo, OH 43604",1961-04-17,7743,2019-05-02,golden_goose,0.05
MEM-0002,Gus Kim,gus.kim2@example.com,"37 Ferry St, Toledo, OH 46700",2004-08-25,8526,2023-04-01,standard,0.32
MEM-0003,Lamar Wright,lamar.wright3@example.com,"94 Ferry St, Kalamazoo, MI 46290",1995-01-09,3284,2025-05-01,standard,0.17
MEM-0004,Omar Lee,omar.lee4@example.com,"154 Prairie Ln, South Bend, IN 48993",1980-07-21,5192,2025-02-01,standard,0.32
MEM-0005,Pearl Thomas,pearl.thomas5@example.com,"776 Foundry St, Findlay, OH 44201",1964-11-10,5458,2023-12-01,standard,0.21
MEM-0006,Zoe Torres,zoe.torres6@example.com,"824 Harbor Rd, South Bend, IN 47727",1990-10-14,6787,2021-11-01,standard,0.36
MEM-0007,Quinn Anderson,quinn.anderson7@example.com,"955 Airline Rd, Dayton, OH 49747",1985-02-18,1740,2017-01-01,standard,0.25
MEM-0008,Bettye Patel,bettye.patel8@example.com,"211 Oak Ave, Sandusky, OH 46208",1990-10-15,3510,2021-12-01,standard,0.13
MEM-0009,Ivan Young,ivan.young9@example.com,"518 Meadow Ln, Findlay, OH 46583",1969-04-19,2639,2023-05-01,standard,0.29
MEM-0010,Ingrid Scott,ingrid.scott10@example.com,"132 Airline Rd, Fort Wayne, IN 48553",1960-03-14,4917,2015-09-01,standard,0.22
MEM-0011,Ximena Moore,ximena.moore11@example.com,"789 Prairie Ln, Erie, PA 43564",1982-04-03,8342,2023-06-01,standard,0.06
MEM-0012,Ingrid Smith,ingrid.smith12@example.com,"147 Harbor Rd, Bowling Green, OH 49089",1983-07-28,4417,2016-08-01,standard,0.21
MEM-0013,Jamal Kowalczyk,jamal.kowalczyk13@example.com,"13 Meadow Ln, Toledo, OH 48007",1984-11-09,5970,2017-07-01,standard,0.37
MEM-0014,Yuki Kowalczyk,yuki.kowalczyk14@example.com,"771 Elm Ct, Kalamazoo, MI 45346",1989-01-16,5178,2018-11-01,golden_goose,0.23
MEM-0015,Yosef Martin,yosef.martin15@example.com,"119 Elm Ct, Dayton, OH 45318",1976-01-10,2495,2019-08-01,standard,0.36
