id,channel,sku_id,qty,amount_usd,status,promo_code,customer_email,placed_at
ORD-100001,dtc,KRAK-01,1,129,shipped,,chen.scott@example.com,-42521
ORD-100002,dtc,SWAN-XL,1,89,shipped,,lamar.lewis@example.com,-41981
ORD-100003,dtc,UNIC-01,1,79,shipped,,greg.thompson@example.com,-41980
ORD-100004,dtc,SWAN-XL,1,89,shipped,,quinn.thomas@example.com,-42536
ORD-100005,dtc,PIZZ-XL,1,49,shipped,,dolores.harris@example.com,-42500
ORD-100006,dtc,KIT-HEL,1,34,shipped,,wes.torres@example.com,-42310
ORD-100007,dtc,KRAK-01,1,129,shipped,,rosa.anderson@example.com,-41895
ORD-100008,dtc,SWAN-XL,4,356,shipped,,kitty.robinson@example.com,-42488
ORD-100009,dtc,SWAN-XL,1,89,shipped,,bob.anderson@example.com,-42433
ORD-100010,dtc,SWAN-XL,1,89,shipped,,deshawn.nowak@example.com,-42257
ORD-100011,dtc,DONUT-2,1,59,shipped,,nadia.allen@example.com,-42596
ORD-100012,dtc,UNIC-01,1,79,shipped,,ingrid.martin@example.com,-42243
ORD-100013,dtc,UNIC-01,1,79,shipped,,mabel.clark@example.com,-42676
ORD-100014,dtc,SWAN-XL,1,89,shipped,,omar.garcia@example.com,-42603
ORD-100015,dtc,DONUT-2,1,59,shipped,,quinn.clark@example.com,-42732
ORD-100016,dtc,SWAN-XL,1,89,shipped,,greg.walker@example.com,-42166
ORD-100017,dtc,DONUT-2,1,59,shipped,,ingrid.martin@example.com,-41959
ORD-100018,dtc,SWAN-XL,1,89,shipped,,harriet.nguyen@example.com,-42419
ORD-100019,dtc,PIZZ-XL,1,49,shipped,,mo.wilson@example.com,-42604
ORD-100020,dtc,SWAN-XL,1,89,shipped,,keiko.nowak@example.com,-41869
ORD-100021,dtc,SWAN-XL,1,89,shipped,,arthur.brzezinski@example.com,-42766
ORD-100022,dtc,KRAK-01,1,129,shipped,,wes.scott@example.com,-41895
ORD-100023,dtc,UNIC-01,1,79,shipped,,jerome.kim@example.com,-42183
ORD-100024,dtc,KIT-HEL,1,34,shipped,,hannah.tanaka@example.com,-41966
ORD-100025,dtc,KIT-HEL,1,34,shipped,,omar.moore@example.com,-42353
ORD-100026,dtc,PIZZ-XL,1,49,shipped,,vera.garcia@example.com,-41857
ORD-100027,dtc,KIT-HEL,1,34,shipped,,deshawn.hernandez@example.com,-42473
ORD-100028,dtc,KIT-HEL,1,34,shipped,,hannah.sanchez@example.com,-42496
ORD-100029,dtc,SWAN-XL,1,89,shipped,,hannah.brown@example.com,-42644
ORD-100030,dtc,SWAN-XL,4,356,shipped,,tomasz.baker@example.com,-42153
ORD-100031,dtc,KRAK-01,1,129,shipped,,ivan.thomas@example.com,-41824
ORD-100032,dtc,PIZZ-XL,1,49,shipped,,chen.walker@example.com,-42538
ORD-100033,dtc,DONUT-2,1,59,shipped,,ximena.smith@example.com,-42688
ORD-100034,dtc,KIT-HEL,1,34,shipped,,kitty.lopez@example.com,-42448
ORD-100035,dtc,PIZZ-XL,1,49,shipped,,rosa.lopez@example.com,-42670
ORD-100036,dtc,DONUT-2,1,59,shipped,,vera.thomas@example.com,-42705
ORD-100037,dtc,KRAK-01,1,129,shipped,,bob.tanaka@example.com,-42164
ORD-100038,dtc,SWAN-XL,1,89,shipped,,hannah.tanaka@example.com,-42498
ORD-100039,dtc,KIT-HEL,1,34,shipped,,chen.harris@example.com,-42526
ORD-100040,dtc,SWAN-XL,1,89,shipped,,curtis.flores@example.com,-42658
ORD-100041,dtc,SWAN-XL,1,89,shipped,,greg.smith@example.com,-41907
ORD-100042,dtc,PIZZ-XL,1,49,shipped,,ingrid.lewis@example.com,-42198
ORD-100043,dtc,SWAN-XL,1,89,shipped,,priya.allen@example.com,-42046
ORD-100044,dtc,SWAN-XL,1,89,shipped,,linda.thompson@example.com,-42144
ORD-100045,dtc,PIZZ-XL,1,49,shipped,,ximena.kowalczyk@example.com,-42155
ORD-100046,dtc,SWAN-XL,1,89,shipped,,bettye.wright@example.com,-42563
ORD-100047,dtc,DONUT-2,1,59,shipped,,quinn.patel@example.com,-42483
ORD-100048,dtc,PIZZ-XL,1,49,shipped,,lamar.nguyen@example.com,-42407
ORD-100049,dtc,DONUT-2,1,59,shipped,,mabel.miller@example.com,-42259
ORD-100050,dtc,SWAN-XL,1,89,shipped,,aisha.nguyen@example.com,-41879
ORD-100051,dtc,DONUT-2,1,59,shipped,,bettye.young@example.com,-42055
ORD-100052,dtc,UNIC-01,1,79,shipped,,margaret.thompson@example.com,-41911
ORD-100053,dtc,KRAK-01,1,129,shipped,,nadia.allen@example.com,-42736
ORD-100054,dtc,KRAK-01,4,516,shipped,,priya.robinson@example.com,-42496
ORD-100055,dtc,UNIC-01,1,79,shipped,,otis.allen@example.com,-42024
ORD-100056,dtc,SWAN-XL,1,89,shipped,,nadia.tanaka@example.com,-42604
ORD-100057,dtc,UNIC-01,1,79,shipped,,zoe.jackson@example.com,-42512
ORD-100058,dtc,SWAN-XL,1,89,shipped,,wes.davis@example.com,-42503
ORD-100059,dtc,KRAK-01,1,129,shipped,,otis.davis@example.com,-42366
ORD-100060,dtc,KIT-HEL,1,34,shipped,,jerome.nguyen@example.com,-42506
ORD-100061,dtc,UNIC-01,1,79,shipped,,ivan.nowak@example.com,-42765
ORD-100062,dtc,KIT-HEL,1,34,shipped,,ivan.womack@example.com,-41861
ORD-100063,dtc,SWAN-XL,1,89,shipped,,umar.perez@example.com,-42356
ORD-100064,dtc,UNIC-01,1,79,shipped,,mo.perez@example.com,-42571
ORD-100065,dtc,UNIC-01,2,158,shipped,,bettye.moore@example.com,-42119
ORD-100066,dtc,PIZZ-XL,1,49,shipped,,ivan.johnson@example.com,-42474
ORD-100067,dtc,SWAN-XL,1,89,shipped,,flo.martin@example.com,-41956
ORD-100068,dtc,SWAN-XL,1,89,shipped,,rosa.kim@example.com,-42517
ORD-100069,dtc,UNIC-01,1,79,shipped,,omar.green@example.com,-42337
ORD-100070,dtc,KIT-HEL,1,34,shipped,,zoe.johnson@example.com,-42752
ORD-100071,dtc,SWAN-XL,1,89,shipped,,dolores.davis@example.com,-42392
ORD-100072,dtc,KIT-HEL,1,34,shipped,,pearl.lopez@example.com,-41956
ORD-100073,dtc,SWAN-XL,1,89,shipped,,jamal.alsayed@example.com,-41857
ORD-100074,dtc,SWAN-XL,1,89,shipped,,luis.hernandez@example.com,-41951
ORD-100075,dtc,DONUT-2,1,59,shipped,,lamar.miller@example.com,-42394
ORD-100076,dtc,SWAN-XL,1,89,shipped,,flo.white@example.com,-42214
ORD-100077,dtc,PIZZ-XL,1,49,shipped,,omar.baker@example.com,-41863
ORD-100078,dtc,KIT-HEL,1,34,shipped,,ingrid.walker@example.com,-42770
ORD-100079,dtc,PIZZ-XL,1,49,shipped,,hannah.martinez@example.com,-42095
ORD-100080,dtc,SWAN-XL,1,89,shipped,,zoe.womack@example.com,-42770
ORD-100081,dtc,PIZZ-XL,1,49,shipped,,lamar.lee@example.com,-41866
ORD-100082,dtc,SWAN-XL,1,89,shipped,,priya.moore@example.com,-42779
ORD-100083,dtc,KRAK-01,1,129,shipped,,otis.lee@example.com,-42447
ORD-100084,dtc,DONUT-2,2,118,shipped,,tomasz.alsayed@example.com,-42074
ORD-100085,dtc,UNIC-01,1,79,shipped,,dolores.hernandez@example.com,-41861
ORD-100086,dtc,DONUT-2,1,59,shipped,,vera.clark@example.com,-42048
ORD-100087,dtc,UNIC-01,4,316,shipped,,gus.brzezinski@example.com,-42606
ORD-100088,dtc,DONUT-2,1,59,shipped,,ray.alsayed@example.com,-41871
ORD-100089,dtc,KIT-HEL,1,34,shipped,,otis.green@example.com,-42016
ORD-100090,dtc,PIZZ-XL,1,49,shipped,,gus.harris@example.com,-42403
ORD-100091,dtc,PIZZ-XL,1,49,shipped,,arthur.torres@example.com,-42169
ORD-100092,dtc,UNIC-01,1,79,shipped,,linda.brzezinski@example.com,-42101
ORD-100093,dtc,SWAN-XL,1,89,shipped,,margaret.perez@example.com,-41969
ORD-100094,dtc,PIZZ-XL,1,49,shipped,,luis.thompson@example.com,-41851
ORD-100095,dtc,PIZZ-XL,1,49,shipped,,tomasz.sanchez@example.com,-42383
ORD-100096,dtc,SWAN-XL,1,89,shipped,,ivan.nguyen@example.com,-42046
ORD-100097,dtc,SWAN-XL,1,89,shipped,,paloma.lee@example.com,-42674
ORD-100098,dtc,PIZZ-XL,1,49,shipped,,tomasz.young@example.com,-42095
ORD-100099,dtc,PIZZ-XL,1,49,shipped,,curtis.wilson@example.com,-42537
ORD-100100,dtc,KIT-HEL,1,34,shipped,,quinn.womack@example.com,-42055
ORD-100101,dtc,SWAN-XL,1,89,shipped,,carlos.hill@example.com,-41891
ORD-100102,dtc,SWAN-XL,1,89,shipped,,luis.martin@example.com,-41999
ORD-100103,dtc,SWAN-XL,1,89,shipped,,mabel.kowalczyk@example.com,-42609
ORD-100104,dtc,SWAN-XL,1,89,shipped,,mo.thompson@example.com,-42650
ORD-100105,dtc,SWAN-XL,1,89,shipped,,umar.allen@example.com,-42317
ORD-100106,dtc,UNIC-01,1,79,shipped,,pearl.nowak@example.com,-42134
ORD-100107,dtc,KIT-HEL,1,34,shipped,,fatima.garcia@example.com,-41954
ORD-100108,dtc,KIT-HEL,1,34,shipped,,nadia.torres@example.com,-42101
ORD-100109,dtc,UNIC-01,1,79,shipped,,linda.miller@example.com,-42575
ORD-100110,dtc,SWAN-XL,1,89,shipped,,ray.tanaka@example.com,-42548
ORD-100111,dtc,SWAN-XL,1,89,shipped,,ximena.hill@example.com,-42398
ORD-100112,dtc,SWAN-XL,1,89,shipped,,nellie.martinez@example.com,-42667
ORD-100113,dtc,DONUT-2,1,59,shipped,,ivan.smith@example.com,-42344
ORD-100114,dtc,SWAN-XL,1,89,shipped,,fatima.lopez@example.com,-40438
ORD-100115,dtc,DONUT-2,1,59,shipped,,mo.walker@example.com,-40662
ORD-100116,dtc,KIT-HEL,1,34,shipped,,pearl.wilson@example.com,-41134
ORD-100117,dtc,PIZZ-XL,1,49,shipped,,tina.ramirez@example.com,-40939
ORD-100118,dtc,KIT-HEL,1,34,shipped,,chen.kowalczyk@example.com,-40785
ORD-100119,dtc,DONUT-2,1,59,shipped,,bettye.okaforreyes@example.com,-41006
ORD-100120,dtc,KIT-HEL,1,34,shipped,,nellie.young@example.com,-40652
ORD-100121,dtc,SWAN-XL,1,89,shipped,,carlos.lopez@example.com,-40588
ORD-100122,dtc,PIZZ-XL,1,49,shipped,,mabel.jackson@example.com,-41081
ORD-100123,dtc,SWAN-XL,1,89,shipped,,bettye.thomas@example.com,-40897
ORD-100124,dtc,SWAN-XL,2,178,shipped,,linda.sanchez@example.com,-40980
ORD-100125,dtc,DONUT-2,1,59,shipped,,paloma.okaforreyes@example.com,-40591
ORD-100126,dtc,DONUT-2,1,59,shipped,,luis.kowalczyk@example.com,-41100
ORD-100127,dtc,KRAK-01,1,129,shipped,,wes.brown@example.com,-40795
ORD-100128,dtc,DONUT-2,1,59,shipped,,otis.smith@example.com,-40670
ORD-100129,dtc,KIT-HEL,1,34,shipped,,tina.allen@example.com,-41194
ORD-100130,dtc,SWAN-XL,1,89,shipped,,ingrid.osei@example.com,-40486
ORD-100131,dtc,PIZZ-XL,1,49,shipped,,vera.perez@example.com,-41179
ORD-100132,dtc,SWAN-XL,1,89,shipped,,mo.flores@example.com,-40756
ORD-100133,dtc,KIT-HEL,1,34,shipped,,kitty.green@example.com,-40473
ORD-100134,dtc,SWAN-XL,1,89,shipped,,lamar.martinez@example.com,-40522
ORD-100135,dtc,PIZZ-XL,1,49,shipped,,linda.martin@example.com,-40603
ORD-100136,dtc,SWAN-XL,1,89,shipped,,tomasz.patel@example.com,-40560
ORD-100137,dtc,SWAN-XL,1,89,shipped,,mabel.tanaka@example.com,-40796
ORD-100138,dtc,DONUT-2,1,59,shipped,,priya.garcia@example.com,-41223
ORD-100139,dtc,PIZZ-XL,1,49,shipped,,ingrid.johnson@example.com,-40544
